Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,10194,396,730,1293.6018424367364,4.066099998453865,21057.4775999994,1842.5314891112419,1.890765444572669,0.07344939337362928,730,1400,1800,2200,3200,4200,5500,6600,21000,21000,21000
GET,/api/hint,10128,356,710,1289.848386808853,1.0978000009345124,21055.66539999927,9.648499210110584,1.8785238790103973,0.06603026272982834,710,1300,1800,2100,3200,4100,5800,7200,21000,21000,21000
GET,/api/leaderboard,15134,577,2800,3727.557064470748,79.15180000054534,56213.690500000666,882525.7707810228,2.8070280790820847,0.10702095953682852,2800,3700,4500,5000,7200,10000,16000,21000,37000,56000,56000
PATCH,/api/move,50485,1872,720,1286.575293546592,3.204599999662605,21087.88850000019,84.78839259185897,9.363870263807257,0.3472153141298839,720,1300,1800,2200,3100,4100,5600,6900,21000,21000,21000
DELETE,/api/new,9997,396,720,1263.9351352205754,3.172999999151216,21057.391199999984,71.40432129638891,1.8542262261519493,0.07344939337362928,720,1300,1800,2100,3100,4100,5500,6600,21000,21000,21000
GET,/api/startgame,100,0,83,402.44523500006835,15.802200001417077,5214.972800000396,74.34,0.018547826609502344,0.0,83,150,260,290,1400,2500,5200,5200,5200,5200,5200
POST,/api/submit,5046,193,1500,1961.7139349782008,5.759899999247864,21054.813799999465,1.9235037653587,0.9359233307154882,0.03579730535633952,1500,2200,2700,3000,4000,5000,6300,7800,21000,21000,21000
PUT,/api/undo,15286,543,720,1270.4687976710745,3.3892999999807216,21069.448099999136,85.83435823629465,2.835220775528528,0.10071469848959771,720,1300,1800,2200,3100,4000,5500,6600,21000,21000,21000
GET,/game,5243,206,720,1271.3302966240503,3.7752999996882863,21060.829000000012,1343.0719053976732,0.9724625491362079,0.038208522815574825,720,1300,1800,2100,3100,4200,5600,7000,21000,21000,21000
GET,/leaderboard,10042,356,720,1279.8381138418677,3.7062999999761814,21056.805499998518,1049.4291973710417,1.8625727481262253,0.06603026272982834,720,1300,1800,2200,3200,4100,5600,6900,21000,21000,21000
,Aggregated,131655,4895,920,1588.4613699715062,1.0978000009345124,56213.690500000666,101773.03687668528,24.41914112274031,0.9079161125351397,920,1600,2200,2600,3700,5000,7100,9600,21000,39000,56000
