Time,Name,CPU,Memory,NetIO,BlockIO
01:09:27,project6supersorter3400-web-1,0.01%,3.164MiB / 15.59GiB,9.46kB / 2.31kB,0B / 0B
01:09:29,project6supersorter3400-web-1,0.01%,3.164MiB / 15.59GiB,9.53kB / 2.38kB,0B / 0B
01:09:31,project6supersorter3400-web-1,0.01%,3.164MiB / 15.59GiB,9.53kB / 2.38kB,0B / 0B
01:09:33,project6supersorter3400-web-1,0.06%,3.164MiB / 15.59GiB,9.61kB / 2.46kB,0B / 0B
01:09:36,project6supersorter3400-web-1,0.04%,3.164MiB / 15.59GiB,9.61kB / 2.46kB,0B / 0B
01:09:38,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,9.61kB / 2.46kB,0B / 0B
01:09:40,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,9.61kB / 2.46kB,0B / 0B
01:09:42,project6supersorter3400-web-1,0.05%,3.164MiB / 15.59GiB,9.61kB / 2.46kB,0B / 0B
01:09:45,project6supersorter3400-web-1,0.05%,3.164MiB / 15.59GiB,9.61kB / 2.46kB,0B / 0B
01:09:47,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,9.61kB / 2.46kB,0B / 0B
01:09:49,project6supersorter3400-web-1,0.01%,3.164MiB / 15.59GiB,9.61kB / 2.46kB,0B / 0B
01:09:51,project6supersorter3400-web-1,0.05%,3.164MiB / 15.59GiB,9.61kB / 2.46kB,0B / 0B
01:09:54,project6supersorter3400-web-1,0.05%,3.164MiB / 15.59GiB,9.61kB / 2.46kB,0B / 0B
01:09:56,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,9.61kB / 2.46kB,0B / 0B
01:09:58,project6supersorter3400-web-1,0.01%,3.164MiB / 15.59GiB,9.61kB / 2.46kB,0B / 0B
01:10:00,project6supersorter3400-web-1,0.06%,3.164MiB / 15.59GiB,9.68kB / 2.52kB,0B / 0B
01:10:02,project6supersorter3400-web-1,0.06%,3.164MiB / 15.59GiB,9.68kB / 2.52kB,0B / 0B
01:10:05,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,9.72kB / 2.57kB,0B / 0B
01:10:07,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,9.72kB / 2.57kB,0B / 0B
01:10:09,project6supersorter3400-web-1,0.01%,3.164MiB / 15.59GiB,9.72kB / 2.57kB,0B / 0B
01:10:11,project6supersorter3400-web-1,0.05%,3.164MiB / 15.59GiB,9.72kB / 2.57kB,0B / 0B
01:10:14,project6supersorter3400-web-1,0.05%,3.164MiB / 15.59GiB,9.72kB / 2.57kB,0B / 0B
01:10:16,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,9.72kB / 2.57kB,0B / 0B
01:10:18,project6supersorter3400-web-1,0.01%,3.164MiB / 15.59GiB,9.72kB / 2.57kB,0B / 0B
01:10:20,project6supersorter3400-web-1,0.06%,3.164MiB / 15.59GiB,9.72kB / 2.57kB,0B / 0B
01:10:23,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,9.72kB / 2.57kB,0B / 0B
01:10:25,project6supersorter3400-web-1,0.01%,3.164MiB / 15.59GiB,9.72kB / 2.57kB,0B / 0B
01:10:27,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,9.72kB / 2.57kB,0B / 0B
01:10:29,project6supersorter3400-web-1,0.05%,3.164MiB / 15.59GiB,9.78kB / 2.63kB,0B / 0B
01:10:32,project6supersorter3400-web-1,0.05%,3.164MiB / 15.59GiB,9.78kB / 2.63kB,0B / 0B
01:10:34,project6supersorter3400-web-1,0.03%,3.164MiB / 15.59GiB,9.78kB / 2.63kB,0B / 0B
01:10:36,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,9.87kB / 2.72kB,0B / 0B
01:10:38,project6supersorter3400-web-1,0.01%,3.164MiB / 15.59GiB,9.87kB / 2.72kB,0B / 0B
01:10:40,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,9.87kB / 2.72kB,0B / 0B
01:10:43,project6supersorter3400-web-1,0.05%,3.164MiB / 15.59GiB,9.87kB / 2.72kB,0B / 0B
01:10:45,project6supersorter3400-web-1,0.03%,3.164MiB / 15.59GiB,9.87kB / 2.72kB,0B / 0B
01:10:47,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,9.87kB / 2.72kB,0B / 0B
01:10:49,project6supersorter3400-web-1,0.05%,3.164MiB / 15.59GiB,9.87kB / 2.72kB,0B / 0B
01:10:52,project6supersorter3400-web-1,0.06%,3.164MiB / 15.59GiB,9.87kB / 2.72kB,0B / 0B
01:10:54,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,9.87kB / 2.72kB,0B / 0B
01:10:56,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,9.87kB / 2.72kB,0B / 0B
01:10:58,project6supersorter3400-web-1,0.05%,3.164MiB / 15.59GiB,9.87kB / 2.72kB,0B / 0B
01:11:01,project6supersorter3400-web-1,0.05%,3.164MiB / 15.59GiB,9.93kB / 2.78kB,0B / 0B
01:11:03,project6supersorter3400-web-1,0.01%,3.164MiB / 15.59GiB,9.93kB / 2.78kB,0B / 0B
01:11:05,project6supersorter3400-web-1,0.01%,3.164MiB / 15.59GiB,9.93kB / 2.78kB,0B / 0B
01:11:07,project6supersorter3400-web-1,0.06%,3.164MiB / 15.59GiB,9.93kB / 2.78kB,0B / 0B
01:11:10,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,9.93kB / 2.78kB,0B / 0B
01:11:12,project6supersorter3400-web-1,0.01%,3.164MiB / 15.59GiB,9.93kB / 2.78kB,0B / 0B
01:11:14,project6supersorter3400-web-1,0.03%,3.164MiB / 15.59GiB,9.93kB / 2.78kB,0B / 0B
01:11:16,project6supersorter3400-web-1,0.04%,3.164MiB / 15.59GiB,9.93kB / 2.78kB,0B / 0B
01:11:18,project6supersorter3400-web-1,0.07%,3.164MiB / 15.59GiB,9.93kB / 2.78kB,0B / 0B
01:11:21,project6supersorter3400-web-1,0.03%,3.164MiB / 15.59GiB,9.93kB / 2.78kB,0B / 0B
01:11:23,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,9.93kB / 2.78kB,0B / 0B
01:11:25,project6supersorter3400-web-1,0.01%,3.164MiB / 15.59GiB,9.93kB / 2.78kB,0B / 0B
01:11:27,project6supersorter3400-web-1,0.07%,3.164MiB / 15.59GiB,9.93kB / 2.78kB,0B / 0B
01:11:30,project6supersorter3400-web-1,0.06%,3.164MiB / 15.59GiB,9.93kB / 2.78kB,0B / 0B
01:11:32,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,10kB / 2.85kB,0B / 0B
01:11:34,project6supersorter3400-web-1,0.01%,3.164MiB / 15.59GiB,10kB / 2.85kB,0B / 0B
01:11:36,project6supersorter3400-web-1,0.05%,3.164MiB / 15.59GiB,10.1kB / 2.93kB,0B / 0B
01:11:39,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,10.1kB / 2.93kB,0B / 0B
01:11:41,project6supersorter3400-web-1,0.03%,3.164MiB / 15.59GiB,10.1kB / 2.93kB,0B / 0B
01:11:43,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,10.1kB / 2.93kB,0B / 0B
01:11:45,project6supersorter3400-web-1,0.05%,3.164MiB / 15.59GiB,10.1kB / 2.93kB,0B / 0B
01:11:48,project6supersorter3400-web-1,0.07%,3.164MiB / 15.59GiB,10.1kB / 2.93kB,0B / 0B
01:11:50,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,10.1kB / 2.93kB,0B / 0B
01:11:52,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,10.1kB / 2.93kB,0B / 0B
01:11:54,project6supersorter3400-web-1,0.05%,3.164MiB / 15.59GiB,10.1kB / 2.93kB,0B / 0B
01:11:57,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,10.1kB / 2.93kB,0B / 0B
01:11:59,project6supersorter3400-web-1,0.04%,3.164MiB / 15.59GiB,10.1kB / 2.93kB,0B / 0B
01:12:01,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,10.1kB / 2.93kB,0B / 0B
01:12:03,project6supersorter3400-web-1,0.01%,3.164MiB / 15.59GiB,10.2kB / 3kB,0B / 0B
01:12:05,project6supersorter3400-web-1,0.02%,3.164MiB / 15.59GiB,10.2kB / 3kB,0B / 0B
